variable,origin,RMSE,nRMSE,Bias,nBias,EF
A,LeafGasExchange.jl,5.59,0.12,-1.077,-0.02,0.72
A,PlantBiophysics.jl,2.19,0.05,0.9207,0.02,0.96
A,plantecophys,4.03,0.08,1.9034,0.04,0.86
E,LeafGasExchange.jl,0.94,0.11,-0.6568,-0.07,0.62
E,PlantBiophysics.jl,0.5,0.06,0.3009,0.03,0.89
E,plantecophys,0.73,0.08,-0.1215,-0.01,0.77
Gs,LeafGasExchange.jl,0.05,0.15,-0.0375,-0.1,0.39
Gs,PlantBiophysics.jl,0.02,0.07,0.0091,0.03,0.86
Gs,plantecophys,0.08,0.23,0.0505,0.14,-0.53
Tl,LeafGasExchange.jl,0.72,0.03,0.0877,0.0,0.97
Tl,PlantBiophysics.jl,0.51,0.02,0.3261,0.02,0.99
Tl,plantecophys,1.52,0.07,1.0007,0.05,0.88
